Unix Time,Open,High,Low,Close,Volume,Formatted Date
1768335386,77.29,77.29,77.28,77.28,0.22100000,13/01/2026 21:16:26
1768335387,77.28,77.28,77.28,77.28,2.88400000,13/01/2026 21:16:27
1768335388,77.27,77.27,77.26,77.26,26.64000000,13/01/2026 21:16:28
1768335389,77.27,77.27,77.27,77.27,2.00100000,13/01/2026 21:16:29
1768335390,77.27,77.27,77.27,77.27,0.13100000,13/01/2026 21:16:30
1768335391,77.27,77.27,77.27,77.27,2.54700000,13/01/2026 21:16:31
1768335392,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:16:32
1768335393,77.27,77.27,77.26,77.26,1.32500000,13/01/2026 21:16:33
1768335394,77.26,77.26,77.26,77.26,0.00000000,13/01/2026 21:16:34
1768335395,77.27,77.27,77.27,77.27,2.00000000,13/01/2026 21:16:35
1768335396,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:16:36
1768335397,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:16:37
1768335398,77.26,77.26,77.26,77.26,43.43600000,13/01/2026 21:16:38
1768335399,77.26,77.26,77.26,77.26,0.00000000,13/01/2026 21:16:39
1768335400,77.26,77.26,77.26,77.26,0.00000000,13/01/2026 21:16:40
1768335401,77.26,77.26,77.26,77.26,0.00000000,13/01/2026 21:16:41
1768335402,77.26,77.26,77.26,77.26,0.00000000,13/01/2026 21:16:42
1768335403,77.26,77.26,77.26,77.26,0.00000000,13/01/2026 21:16:43
1768335404,77.25,77.25,77.25,77.25,7.79900000,13/01/2026 21:16:44
1768335405,77.25,77.25,77.25,77.25,0.00000000,13/01/2026 21:16:45
1768335406,77.26,77.26,77.25,77.25,1.40800000,13/01/2026 21:16:46
1768335407,77.25,77.25,77.25,77.25,36.35200000,13/01/2026 21:16:47
1768335408,77.24,77.24,77.24,77.24,1.52300000,13/01/2026 21:16:48
1768335409,77.24,77.24,77.24,77.24,0.13300000,13/01/2026 21:16:49
1768335410,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:16:50
1768335411,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:16:51
1768335412,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:16:52
1768335413,77.24,77.24,77.24,77.24,1.04100000,13/01/2026 21:16:53
1768335414,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:16:54
1768335415,77.24,77.24,77.24,77.24,5.72300000,13/01/2026 21:16:55
1768335416,77.25,77.25,77.25,77.25,50.05000000,13/01/2026 21:16:56
